t,x,y,z
1,411.41,311.24,24.528
1,291.64,427.78,23.247
1,299.15,354.78,22.002
1,336.07,273.25,23.197
1,368.81,578.67,24.72
1,423.06,328.76,25.05
1,286.9,662.37,22.472
1,292.06,611.69,25.065
1,295.61,244.79,22.068
1,296.76,432.18,22.954
1,298.46,90.462,24.461
1,299.09,39.778,22.498
1,311.44,476.98,24.58
1,322.92,216.46,25.537
1,328.34,257.12,25.624
1,340.8,609.83,25.804
1,391.85,543.96,26.602
1,396.44,275.45,25.981
1,407.41,296.37,25.572
1,288.71,689.13,26.755
1,290.71,627.49,25.556
1,296.46,660.51,26.926
1,296.91,498.19,24.506
1,297.72,122.21,24.725
1,305.7,21.964,24.7
1,322.39,197.9,27.279
1,435.05,496.67,26.925
1,286.53,679.39,25.958
1,295.16,513.7,26.173
1,299.8,98.77,24.646
1,300.24,173.78,26.647
1,316.22,108.58,27.259
1,326.89,225.91,27.051
1,332.41,623.84,27.69
1,378.36,255.23,28.825
1,383.22,565.85,28.259
1,426.42,329.87,27.034
1,432.8,346.3,26.587
1,293.4,567.5,27.073
1,294.08,527.48,27.281
1,300.68,136.03,26.945
1,301.36,387.39,26.176
1,303.08,88.96,26.565
1,371.18,248.08,28.485
1,292.25,592.26,28.318
1,293.76,635.59,28.939
1,297.09,543.12,28.091
1,296.91,679.11,29.482
1,301.63,207.87,27.088
1,302.19,311.82,27.387
1,301.86,316.08,26.888
1,306.24,35.614,26.935
1,308.56,53.5,28.645
1,309.87,458.2,29.008
1,324.06,454.64,28.816
1,450.41,478.24,29.67
1,293.96,643.64,29.99
1,294.75,687.58,29.726
1,299.88,508.85,29.089
1,304.89,170.59,29.092
1,305.9,68.449,29.047
1,324.52,149.46,31.645
1,328.69,203.31,30.883
1,329.4,639.17,30.909
1,337.66,237.0,29.741
1,346.14,618.99,31.607
1,416.04,299.71,29.626
1,300.69,689.17,31.083
1,361.03,608.93,33.401
1,404.38,277.33,32.681
1,412.81,293.45,29.774
1,302.9,464.72,31.498
1,304.94,415.45,30.926
1,305.0,205.52,28.193
1,308.26,229.22,30.861
1,309.44,357.78,30.983
1,312.66,253.13,32.406
1,318.75,77.648,31.795
1,469.46,439.95,33.902
1,300.53,601.8,32.604
1,303.28,517.21,32.587
1,303.26,594.37,31.272
1,309.25,148.37,31.575
1,331.77,162.8,33.81
1,334.62,196.13,33.586
1,343.88,351.38,33.727
1,360.46,611.75,33.424
1,376.37,591.01,33.946
1,383.59,245.31,33.676
1,306.1,433.64,33.193
1,311.74,298.02,33.498
1,313.78,116.99,32.997
1,350.67,303.18,33.04
1,380.38,233.28,34.662
1,400.21,250.68,34.266
1,298.76,696.85,34.082
1,304.33,568.49,34.714
1,305.96,540.61,34.959
1,312.39,125.75,33.719
1,315.19,32.828,33.617
1,313.22,229.05,32.53
1,327.15,102.49,37.149
1,329.93,527.68,34.963
1,331.39,503.42,34.612
1,338.7,184.41,35.187
1,382.58,583.92,35.583
1,410.9,542.44,35.653
1,420.89,527.46,34.746
1,307.03,533.71,35.649
1,316.06,90.73,34.465
1,314.99,177.4,34.739
1,322.77,9.1588,35.026
1,347.91,500.68,35.846
1,356.41,232.02,36.176
1,305.1,613.27,36.509
1,306.01,576.86,36.764
1,307.94,482.58,36.819
1,313.42,335.95,36.016
1,314.22,275.17,34.593
1,316.86,169.24,36.311
1,318.68,18.774,35.902
1,318.03,59.044,36.093
1,331.29,123.2,37.57
1,336.9,653.18,38.004
1,340.57,324.19,37.697
1,344.85,208.76,38.02
1,365.93,225.01,37.788
1,415.82,273.67,37.893
1,429.09,303.99,38.811
1,467.05,402.59,40.086
1,301.73,665.18,37.003
1,303.0,657.66,37.836
1,305.72,635.73,38.083
1,314.52,346.3,37.472
1,316.53,152.07,36.439
1,316.85,287.44,36.261
1,318.43,84.724,36.637
1,319.86,48.719,36.524
1,305.86,653.31,38.418
1,312.29,429.45,38.547
1,308.83,498.23,39.208
1,312.83,414.61,39.728
1,320.33,188.53,38.675
1,322.58,145.27,39.341
1,323.44,15.016,37.757
1,323.89,122.41,39.082
1,348.41,194.36,40.245
1,351.39,638.12,41.535
1,387.1,223.08,40.812
1,424.75,288.74,40.75
1,431.38,303.79,40.622
1,312.0,518.46,40.379
1,315.29,404.88,40.834
1,318.63,329.88,40.051
1,321.05,254.64,39.695
1,321.55,267.83,39.221
1,322.36,62.15,38.212
1,324.52,240.78,38.455
1,359.7,298.94,39.309
1,436.52,315.01,41.885
1,324.65,27.562,40.386
1,408.6,250.48,42.585
1,317.35,457.56,43.415
1,325.07,208.22,41.467
1,326.76,74.178,41.502
1,327.0,55.68,40.89
1,351.35,200.28,42.744
1,371.85,206.35,42.88
1,436.48,514.72,43.964
1,466.15,388.94,46.04
1,325.73,321.96,42.964
1,325.95,164.76,42.471
1,327.76,107.33,43.179
1,341.03,146.88,44.062
1,355.56,190.1,44.506
1,385.82,334.63,44.326
1,312.89,660.22,44.327
1,315.34,688.17,45.036
1,320.7,417.67,44.706
1,327.9,139.08,43.781
1,362.87,186.96,45.645
1,374.34,612.87,46.008
1,380.02,604.33,45.69
1,396.44,222.65,48.22
1,447.52,333.81,45.545
1,317.36,635.13,46.311
1,324.31,341.88,44.943
1,330.22,271.37,44.507
1,424.82,271.38,46.522
1,318.49,696.52,47.898
1,320.06,586.13,47.043
1,319.65,663.95,46.618
1,326.96,376.47,46.542
1,330.23,304.86,44.832
1,333.52,178.38,46.181
1,453.09,495.74,47.364
1,319.24,645.77,48.06
1,320.34,652.71,47.814
1,322.04,483.49,47.372
1,332.81,231.96,46.57
1,335.65,259.53,45.395
1,334.64,67.92,45.992
1,337.63,42.815,46.533
1,323.48,531.31,48.58
1,335.98,93.472,47.413
1,322.61,627.69,49.365
1,323.64,562.12,50.056
1,327.33,508.72,49.535
1,329.45,340.86,47.169
1,331.16,382.9,49.485
1,335.54,294.06,47.792
1,334.65,323.02,49.438
1,338.21,9.2628,48.994
1,378.7,191.44,49.837
1,328.43,476.17,50.291
1,335.4,356.46,50.519
1,339.44,85.26,49.976
1,442.98,309.43,51.799
1,339.79,216.25,50.965
1,341.88,188.41,50.039
1,354.83,114.44,54.394
1,395.66,511.23,50.403
1,402.06,213.77,54.446
1,437.37,294.62,54.124
1,325.25,686.34,52.742
1,326.98,676.18,53.068
1,331.32,486.84,52.481
1,335.5,402.12,53.058
1,337.81,363.91,52.769
1,338.91,315.4,52.474
1,340.19,266.88,51.834
1,340.81,102.17,51.63
1,345.33,290.04,52.175
1,464.75,368.7,53.644
1,327.76,561.51,52.173
1,331.67,581.08,53.803
1,333.74,464.35,53.565
1,335.17,445.19,53.772
1,337.26,378.04,53.375
1,337.6,331.74,53.666
1,342.95,241.69,52.197
1,346.54,19.743,52.993
1,364.12,150.3,55.92
1,381.97,179.71,54.857
1,426.1,538.77,55.945
1,448.74,319.49,54.932
1,331.49,599.32,54.82
1,341.8,347.92,54.118
1,346.73,35.054,54.049
1,346.65,50.295,54.065
1,361.11,652.02,56.552
1,372.47,349.56,54.316
1,374.38,166.41,55.175
1,379.94,378.23,56.722
1,383.67,512.13,54.405
1,398.06,382.06,57.363
1,456.55,341.32,54.569
1,479.49,440.13,55.381
1,330.19,639.62,54.014
1,332.84,657.43,56.316
1,338.1,493.01,56.071
1,340.03,395.06,55.611
1,347.14,257.75,55.776
1,354.85,667.04,57.081
1,441.86,520.62,56.453
1,449.92,508.19,56.078
1,333.49,621.74,56.358
1,344.66,353.42,56.29
1,346.29,161.12,55.556
1,345.55,219.83,55.603
1,346.77,171.1,55.514
1,350.53,280.94,56.805
1,351.86,673.72,59.142
1,378.12,374.32,57.818
1,416.65,315.16,57.207
1,339.9,479.24,57.646
1,348.82,176.78,56.532
1,404.45,578.74,58.079
1,340.39,493.33,57.301
1,352.38,6.455,57.344
1,351.93,43.694,57.626
1,352.95,193.09,58.951
1,355.47,86.787,58.191
1,420.39,235.26,59.33
1,334.65,667.26,59.292
1,338.23,612.27,59.422
